r kpc,sigma tot
0.0,374.3971175041313
0.001999800019998,373.97731706955545
0.003999600039996,373.55798734481476
0.0059994000599940004,373.139127802113
0.007999200079992,372.72073791425066
0.00999900009999,372.30281715461746
0.011998800119988001,371.8853649971952
0.013998600139986002,371.46838091655127
0.015998400159984,371.0518643878464
0.017998200179982,370.6358148868299
0.01999800019998,370.2202318898344
0.021997800219978006,369.8051148737842
0.023997600239976002,369.3904633161897
0.025997400259974,368.9762766951444
0.027997200279972004,368.5625544893289
0.029997000299970003,368.14929617800846
0.031996800319968,367.73650124103307
0.033996600339966,367.3241691588329
0.035996400359964,366.91229941242284
0.03799620037996201,366.500891483401
0.03999600039996,366.0899448539429
0.041995800419958006,365.67945900680843
0.04399560043995601,365.2694334253353
0.045995400459954004,364.85986759344263
0.047995200479952004,364.45076099562453
0.04999500049995001,364.042113116957
0.051994800519948,363.6339234430921
0.05399460053994601,363.2261914602564
0.05599440055994401,362.8189166552557
0.057994200579942,362.41209851547023
0.059994000599940006,362.00573652885527
0.061993800619938005,361.59983018393774
0.063993600639936,361.1943789698213
0.065993400659934,360.7893823761826
0.067993200679932,360.3848398932662
0.06999300069993,359.98075101189266
0.071992800719928,359.5771152234534
0.073992600739926,359.17393201990575
0.07599240075992401,358.7712008937811
0.07799220077992201,358.3689213381784
0.07999200079992,357.9670928467664
0.08199180081991801,357.56571491377724
0.08399160083991601,357.1647870340145
0.08599140085991401,356.76430870284787
0.08799120087991202,356.36427941621
0.08999100089991,355.96469867060085
0.09199080091990801,355.56556596308496
0.09399060093990601,355.1668807912916
0.09599040095990401,354.76864265341027
0.09799020097990202,354.3708510481954
0.09999000099990002,353.9735054749646
0.10198980101989802,353.5766054335933
0.103989601039896,353.180150424521
0.105989401059894,352.7841399487456
0.10798920107989202,352.3885735078264
0.10998900109989002,351.993450603878
0.11198880111988802,351.598770739577
0.11398860113988601,351.2045334181565
0.115988401159884,350.81073814340436
0.11798820117988201,350.4173844196679
0.11998800119988001,350.0244717518503
0.12198780121987801,349.63199964540576
0.12398760123987601,349.2399676063473
0.125987401259874,348.84837514124035
0.127987201279872,348.457221757205
0.12998700129987,348.06650696190974
0.131986801319868,347.67623026357944
0.133986601339866,347.2863911709903
0.135986401359864,346.8969891934651
0.137986201379862,346.50802384088104
0.13998600139986,346.11949462366346
0.14198580141985803,345.73140105278804
0.143985601439856,345.3437426397746
0.145985401459854,344.95651889669483
0.147985201479852,344.5697293361673
0.14998500149985,344.1833734713542
0.15198480151984803,343.7974508159655
0.15398460153984603,343.4119608842579
0.15598440155984403,343.02690319102885
0.15798420157984203,342.64227725162357
0.15998400159984,342.25808258192853
0.16198380161983802,341.87431869837513
0.16398360163983602,341.49098511793346
0.165983401659834,341.10808135811885
0.16798320167983202,340.7256069369863
0.16998300169983,340.3435613731295
0.17198280171982802,339.9619441856843
0.17398260173982602,339.58075489432525
0.17598240175982405,339.19999301926555
0.17798220177982202,338.81965808125403
0.17998200179982,338.43974960158005
0.18198180181981802,338.06026710206964
0.18398160183981602,337.68121010508116
0.18598140185981404,337.30257813351255
0.18798120187981202,336.92437071079536
0.18998100189981004,336.5465873608968
0.19198080191980801,336.1692276083139
0.193980601939806,335.7922909780808
0.19598040195980404,335.41577699576436
0.197980201979802,335.0396851874591
0.19998000199980004,334.6640150797952
0.201979802019798,334.28876619993315
0.20397960203979604,333.913938075561
0.20597940205979404,333.53953023489834
0.207979202079792,333.16554220669383
0.20997900209979004,332.79197352022516
0.211978802119788,332.41882370529515
0.21397860213978603,332.0460922922358
0.21597840215978403,331.6737788119068
0.217978202179782,331.3018827956906
0.21997800219978003,330.9304037754982
0.221977802219778,330.5593412837637
0.22397760223977603,330.1886948534473
0.22597740225977403,329.8184640180297
0.22797720227977203,329.4486483115179
0.22997700229977003,329.0792472684405
0.231976802319768,328.71026042384585
0.23397660233976603,328.3416873133065
0.23597640235976403,327.97352747291603
0.23797620237976203,327.6057804392841
0.23997600239976002,327.23844574954404
0.24197580241975802,326.87152294134677
0.24397560243975602,326.5050115528631
0.24597540245975402,326.1389111227775
0.24797520247975202,325.7732211902958
0.24997500249975002,325.4079412951405
0.251974802519748,325.0430709775462
0.253974602539746,324.67860977826706
0.255974402559744,324.3145572385706
0.257974202579742,323.9509129002405
0.25997400259974,323.5876763055697
0.261973802619738,323.22484699736873
0.263973602639736,322.8624245189603
0.265973402659734,322.5004084141765
0.267973202679732,322.1387982273629
0.26997300269973,321.77759350337595
0.271972802719728,321.41679378758323
0.273972602739726,321.05639862585934
0.275972402759724,320.69640756459
0.277972202779722,320.33682015067075
0.27997200279972,319.97763593150165
0.281971802819718,319.61885445499365
0.28397160283971606,319.2604752695637
0.285971402859714,318.90249792413294
0.287971202879712,318.5449219681311
0.28997100289971,318.18774695149244
0.291970802919708,317.8309724246557
0.29397060293970606,317.474597938562
0.295970402959704,317.11862304465825
0.29797020297970206,316.763047294895
0.2999700029997,316.40787024172096
0.301969803019698,316.05309143809086
0.30396960303969606,315.69871043745917
0.305969403059694,315.3447267937824
0.30796920307969206,314.99114006151336
0.30996900309969,314.6379497956084
0.31196880311968805,314.2851555515226
0.313968603139686,313.932756885206
0.31596840315968405,313.5807533531101
0.31796820317968205,313.22914451218344
0.31996800319968,312.8779299198691
0.321967803219678,312.52710913410783
0.32396760323967605,312.1766817133364
0.32596740325967405,311.82664721648723
0.32796720327967205,311.47700520298474
0.32996700329967,311.1277552327492
0.331966803319668,310.7788968661954
0.33396660333966605,310.43042966422774
0.33596640335966405,310.0823531882462
