r kpc,vel disp kms
0.48869219055841223,10.7
0.9773843811168245,9.5
1.4660765716752369,9.3
1.954768762233649,9.6
2.443460952792061,10.0
2.9321531433504737,10.1
3.4208453339088862,9.1
3.909537524467298,8.2
4.39822971502571,8.0
4.886921905584122,8.4
5.3756140961425345,7.9
5.8643062867009474,8.0
6.3529984772593595,7.6
6.8416906678177725,7.6
7.3303828583761845,8.0
7.819075048934596,8.9
8.307767239493009,9.8
8.79645943005142,10.2
9.285151620609833,10.3
9.773843811168245,10.5
10.262536001726657,9.5
10.751228192285069,8.8
11.239920382843483,9.1
11.728612573401895,9.0
12.217304763960307,8.5
12.705996954518719,8.2
13.194689145077133,8.3
13.683381335635545,7.6
14.172073526193957,7.7
14.660765716752369,6.8
15.149457907310783,7.4
15.638150097869191,7.5
16.126842288427607,6.7
16.615534478986017,6.6
17.10422666954443,6.4
17.59291886010284,8.0
18.081611050661255,8.2
18.570303241219666,6.5
19.05899543177808,6.5
19.54768762233649,7.4
20.036379812894904,6.5
20.525072003453314,5.6
21.013764194011728,6.1
21.502456384570138,5.7
21.991148575128552,5.7
22.479840765686966,5.6
22.968532956245376,6.4
23.45722514680379,7.5
