r,omega
0.09,1190
0.19,910.2631579
0.3,732.7333333
0.42,572.8333333
0.56,443.5535714
0.7,358.1142857
0.86,291.2209302
1.04,240.1153846
1.23,202.8861789
1.45,172.5310345
1.68,149.7321429
1.94,130.7680412
2.23,115.3901345
2.54,103.0551181
2.89,90.84083045
3.27,78.78593272
3.69,67.59891599
4.15,58.85542169
4.65,53.04516129
5.21,48.3646833
5.82,43.73883162
6.49,38.99229584
7.23,34.78561549
8.05,30.18757764
8.94,25.05928412
9.93,20.2306143
11.01,15.70844687
12.2,12.12786885
