r,smdf
0.09,16100.00
0.19,12100.00
0.30,8720.00
0.42,6120.00
0.56,4380.00
0.70,3370.00
0.86,2670.00
1.04,2170.00
1.23,1830.00
1.45,1550.00
1.68,1330.00
1.94,1150.00
2.23,980.00
2.54,821.00
2.89,661.00
3.27,533.00
3.69,450.00
4.15,406.00
4.65,368.00
5.21,315.00
5.82,253.00
6.49,197.00
7.23,143.00
8.05,91.20
8.94,56.60
9.93,42.90
