r,sigma_H2
0.383314543,148.805522
1.14994363,150.8590709
1.916572717,133.3521432
2.702367531,100
3.468996618,78.13707377
4.254791432,69.06940492
5.040586246,53.23416866
5.807215333,29.93577295
6.573844419,14.08670837
7.359639233,10.85711119
8.145434047,16.37893707
8.931228861,25.05010345
9.697857948,26.10157216
10.48365276,20.67646023
11.26944758,10.70932022
12.03607666,3.119231579
