r,q
0.09,0.211565679
0.19,0.454503137
0.3,0.600663076
0.42,0.81548421
0.56,0.968176389
0.7,0.992540213
0.86,1.02488447
1.04,1.034054
1.23,0.999343826
1.45,0.992714827
1.68,0.956290365
1.94,0.926324418
2.23,0.892621349
2.54,0.916767905
2.89,1.057667321
3.27,1.205815836
3.69,1.236295808
4.15,1.068969807
4.65,0.867575682
5.21,0.856844368
5.82,0.974307558
6.49,1.056880404
7.23,1.173084962
8.05,1.516772921
8.94,1.889460936
9.93,2.217278935
11.01,2.501845058
12.2,3.026784622
