r,v
0,0
0.09,107.1
0.19,172.95
0.3,219.82
0.42,240.59
0.56,248.39
0.7,250.68
0.86,250.45
1.04,249.72
1.23,249.55
1.45,250.17
1.68,251.55
1.94,253.69
2.23,257.32
2.54,261.76
2.89,262.53
3.27,257.63
3.69,249.44
4.15,244.25
4.65,246.66
5.21,251.98
5.82,254.56
6.49,253.06
7.23,251.5
8.05,243.01
8.94,224.03
9.93,200.89
11.01,172.95
12.2,147.96
