        ********************
        ****** MODEL2 ******
        ********************

TITLE= M 31        
OPTICAL FILENAME= m31.mub     
HI FILENAME= m31.hidhe   
OBSERVED VELOCITY FILE= m31.vhi     

RCORE=  48.00   SIGMA= 120.00   XML=   7.80
DIST=    0.76   ABS=     0.33   RATIO= 0.32
ECC=     0.15  HECC=     0.00
ABSOLUTE MAGNITUDE= -20.69      TOTAL DISK MASS=   0.22E+12   TOTAL HI MASS=   0.50E+10


     RADIUS   DISK MASS     DISK S.D.     HALO MASS     HALO V.D.     HALO S.D.     HI MASS       HI S.D.
     22.56    0.2003E+12    0.2042E+02    0.4168E+11    0.7700E-03    0.8247E+02    0.4324E+10    0.1134E+01
     23.04    0.2016E+12    0.1849E+02    0.4407E+11    0.7610E-03    0.8188E+02    0.4396E+10    0.1012E+01
     23.52    0.2028E+12    0.1691E+02    0.4655E+11    0.7519E-03    0.8129E+02    0.4460E+10    0.8889E+00
     24.00    0.2040E+12    0.1558E+02    0.4909E+11    0.7428E-03    0.8069E+02    0.4517E+10    0.7868E+00
     24.48    0.2050E+12    0.1430E+02    0.5171E+11    0.7338E-03    0.8005E+02    0.4569E+10    0.6936E+00
     24.96    0.2060E+12    0.1311E+02    0.5439E+11    0.7247E-03    0.7940E+02    0.4617E+10    0.6259E+00
     25.44    0.2070E+12    0.1205E+02    0.5715E+11    0.7156E-03    0.7875E+02    0.4661E+10    0.5683E+00
     25.92    0.2079E+12    0.1141E+02    0.5998E+11    0.7066E-03    0.7810E+02    0.4701E+10    0.5107E+00
     26.40    0.2087E+12    0.1040E+02    0.6288E+11    0.6976E-03    0.7745E+02    0.4737E+10    0.4532E+00
     26.88    0.2095E+12    0.9532E+01    0.6585E+11    0.6886E-03    0.7680E+02    0.4770E+10    0.3956E+00
     27.36    0.2102E+12    0.9259E+01    0.6888E+11    0.6796E-03    0.7615E+02    0.4798E+10    0.3411E+00
     27.84    0.2110E+12    0.8529E+01    0.7198E+11    0.6706E-03    0.7550E+02    0.4823E+10    0.2969E+00
     28.32    0.2116E+12    0.7806E+01    0.7515E+11    0.6617E-03    0.7485E+02    0.4846E+10    0.2634E+00
     28.80    0.2123E+12    0.7141E+01    0.7839E+11    0.6529E-03    0.7420E+02    0.4866E+10    0.2298E+00
     29.28    0.2128E+12    0.6533E+01    0.8168E+11    0.6440E-03    0.7355E+02    0.4883E+10    0.1962E+00
     29.76    0.2134E+12    0.5976E+01    0.8505E+11    0.6353E-03    0.7290E+02    0.4899E+10    0.1736E+00
     30.24    0.2139E+12    0.5466E+01    0.8847E+11    0.6266E-03    0.7225E+02    0.4913E+10    0.1581E+00
     30.72    0.2143E+12    0.4998E+01    0.9196E+11    0.6179E-03    0.7160E+02    0.4926E+10    0.1437E+00
     31.20    0.2148E+12    0.4568E+01    0.9551E+11    0.6093E-03    0.7096E+02    0.4939E+10    0.1293E+00
     31.68    0.2152E+12    0.4180E+01    0.9912E+11    0.6008E-03    0.7031E+02    0.4950E+10    0.1149E+00
     32.16    0.2155E+12    0.3826E+01    0.1028E+12    0.5923E-03    0.6966E+02    0.4959E+10    0.1006E+00
     32.64    0.2159E+12    0.3500E+01    0.1065E+12    0.5839E-03    0.6901E+02    0.4968E+10    0.8617E-01
     33.12    0.2162E+12    0.3201E+01    0.1103E+12    0.5756E-03    0.6836E+02    0.4975E+10    0.7176E-01
     33.60    0.2165E+12    0.2925E+01    0.1141E+12    0.5673E-03    0.6771E+02    0.4980E+10    0.5736E-01
     34.08    0.2168E+12    0.2677E+01    0.1180E+12    0.5591E-03    0.6714E+02    0.4985E+10    0.4317E-01
     34.56    0.2170E+12    0.2450E+01    0.1220E+12    0.5510E-03    0.6657E+02    0.4988E+10    0.2953E-01
     35.04    0.2173E+12    0.2241E+01    0.1260E+12    0.5430E-03    0.6600E+02    0.4990E+10    0.2473E-01
     35.52    0.2175E+12    0.2048E+01    0.1300E+12    0.5351E-03    0.6543E+02    0.4992E+10    0.1993E-01
     36.00    0.2177E+12    0.1874E+01    0.1341E+12    0.5272E-03    0.6486E+02    0.4994E+10    0.1513E-01
